Date,Value
2023-01-01,1097.1438608830872
2023-01-02,1087.7603664403532
2023-01-03,1103.3336931680328
2023-01-04,1101.4851821055174
2023-01-05,1105.7434752068325
2023-01-06,1087.2728326980725
2023-01-07,1113.1966680444516
2023-01-08,1103.0575313112788
2023-01-09,1110.2970784672493
2023-01-10,1100.557319679441
2023-01-11,1109.8214037718883
2023-01-12,1102.491141362214
2023-01-13,1105.64005930611
2023-01-14,1119.3297458104298
2023-01-15,1109.806861968786
2023-01-16,1112.8481232700083
2023-01-17,1117.1119824890602
2023-01-18,1116.2407382069864
2023-01-19,1115.515108224348
2023-01-20,1117.5885036424681
2023-01-21,1128.7814614878353
2023-01-22,1117.4769745079827
2023-01-23,1119.7712486582325
2023-01-24,1125.0197103362025
2023-01-25,1126.294752952461
2023-01-26,1127.70295974698
2023-01-27,1125.9621442608309
2023-01-28,1118.0541535185394
2023-01-29,1132.937020675204
2023-01-30,1120.038820980112
2023-01-31,1128.2844102029073
2023-02-01,1124.0005385581226
2023-02-02,1128.4519110067613
2023-02-03,1131.4170997227504
2023-02-04,1132.3807586799912
2023-02-05,1133.884261305423
2023-02-06,1140.8438988110468
2023-02-07,1136.0436989048303
2023-02-08,1133.5559291523139
2023-02-09,1140.5978331017159
2023-02-10,1142.725434636404
2023-02-11,1131.6407280476028
2023-02-12,1141.7664524040438
2023-02-13,1143.2860006978558
2023-02-14,1139.2930044010084
2023-02-15,1148.6600409158732
2023-02-16,1142.0319138456593
2023-02-17,1144.4107589796865
2023-02-18,1143.9182025224163
2023-02-19,1145.8621418132498
2023-02-20,1141.3035560723733
2023-02-21,1140.5853620253847
2023-02-22,1156.7588266859877
2023-02-23,1145.552179559778
2023-02-24,1145.8307094855952
2023-02-25,1141.0214055963652
2023-02-26,1149.594232357443
2023-02-27,1147.1742770603598
2023-02-28,1163.000486759586
2023-03-01,1160.8401813371242
2023-03-02,1153.3510290960292
2023-03-03,1169.0546447801462
2023-03-04,1163.7019781198896
2023-03-05,1158.1696786988953
2023-03-06,1148.2974919735773
2023-03-07,1173.2499183424059
2023-03-08,1155.848028077141
2023-03-09,1155.5695816076814
2023-03-10,1169.910112434021
2023-03-11,1177.9967072371758
2023-03-12,1173.7199942295388
2023-03-13,1170.618860668755
2023-03-14,1171.7737717083264
2023-03-15,1174.0677627254083
2023-03-16,1174.5960128119475
2023-03-17,1173.2080119143673
2023-03-18,1173.323745245787
2023-03-19,1173.4904590180367
2023-03-20,1171.034286644708
2023-03-21,1174.4014191362141
2023-03-22,1168.340695381078
2023-03-23,1177.314466249588
2023-03-24,1173.863893779314
2023-03-25,1174.2895876604966
2023-03-26,1181.7076899338497
2023-03-27,1188.768915541312
2023-03-28,1187.4011720711076
2023-03-29,1175.957770954487
2023-03-30,1179.8628182212578
2023-03-31,1190.5154997755576
2023-04-01,1181.8998917994318
2023-04-02,1186.689847948645
2023-04-03,1191.5639591252598
2023-04-04,1184.9726612873255
2023-04-05,1191.3419460238804
2023-04-06,1185.1456259500665
2023-04-07,1189.8096001364083
2023-04-08,1195.4160329583838
2023-04-09,1186.8528395515198
2023-04-10,1198.020866840487
2023-04-11,1196.7209890875586
2023-04-12,1200.5823127857846
2023-04-13,1199.940118615529
2023-04-14,1206.6419350265817
2023-04-15,1201.4480403214588
2023-04-16,1199.6755750341
2023-04-17,1203.4347751863943
2023-04-18,1206.5404627479218
2023-04-19,1205.068957885875
2023-04-20,1206.0283009217728
2023-04-21,1203.3160689582264
2023-04-22,1204.5122077410124
2023-04-23,1201.8143709012754
2023-04-24,1218.5759659077155
2023-04-25,1204.6094509463312
2023-04-26,1208.3649260658149
2023-04-27,1209.2381006584553
2023-04-28,1218.3054438025304
2023-04-29,1213.356758457855
2023-04-30,1222.0709021441905
2023-05-01,1213.4654235911094
2023-05-02,1219.2285324549546
2023-05-03,1214.657511309044
2023-05-04,1230.5606771457165
2023-05-05,1214.8976243432087
2023-05-06,1223.3854049209983
2023-05-07,1226.0058707060305
2023-05-08,1225.9066667201344
2023-05-09,1223.911917869995
2023-05-10,1225.1899375972234
2023-05-11,1227.0587833872928
2023-05-12,1227.1054009507618
2023-05-13,1233.6604914743855
2023-05-14,1240.8943958298746
2023-05-15,1228.0550068283856
2023-05-16,1224.9941357870362
2023-05-17,1232.402425374682
2023-05-18,1246.7430672362168
2023-05-19,1230.8268326396035
2023-05-20,1244.0414744381792
2023-05-21,1245.2350794128479
2023-05-22,1235.0793190654326
2023-05-23,1241.6928606014058
2023-05-24,1247.990613252629
2023-05-25,1238.9536763635556
2023-05-26,1240.8320981994884
2023-05-27,1239.9422803617638
2023-05-28,1238.7775862095496
2023-05-29,1241.6056670691905
2023-05-30,1239.7330383922163
2023-05-31,1247.0238419988304
2023-06-01,1244.004243433748
2023-06-02,1250.0237240795018
2023-06-03,1242.0760012210367
2023-06-04,1252.510565544634
2023-06-05,1256.024494123113
2023-06-06,1242.8888560337182
2023-06-07,1255.72850202732
2023-06-08,1260.9972490719556
2023-06-09,1249.8113839476398
2023-06-10,1265.2231359067912
2023-06-11,1259.9560539509398
2023-06-12,1255.3365845568244
2023-06-13,1259.5834833788347
2023-06-14,1263.6546482612387
2023-06-15,1262.243725587199
2023-06-16,1265.5581635238757
2023-06-17,1259.261700527754
2023-06-18,1265.712557544838
2023-06-19,1258.7978658716397
2023-06-20,1266.310992980928
2023-06-21,1263.3482700118543
2023-06-22,1265.1908434377362
2023-06-23,1276.0496439582441
2023-06-24,1276.3264136166702
2023-06-25,1274.9162385497414
2023-06-26,1267.4096690533495
2023-06-27,1272.2898755597453
2023-06-28,1280.938091239622
2023-06-29,1276.5818722394324
2023-06-30,1288.4706203026483
2023-07-01,1279.8412467312185
2023-07-02,1279.8355880482036
2023-07-03,1278.3304450762478
2023-07-04,1281.5444168526785
2023-07-05,1281.1150480783713
2023-07-06,1286.4186255752238
2023-07-07,1288.6622787072606
2023-07-08,1280.9495047522546
2023-07-09,1279.2239722185125
2023-07-10,1277.6997950522918
2023-07-11,1290.421463483878
2023-07-12,1283.3653587499527
2023-07-13,1279.1184237475666
2023-07-14,1292.8264546664905
2023-07-15,1304.3492441625065
2023-07-16,1292.85457694915
2023-07-17,1298.0780703106145
2023-07-18,1295.295448162601
2023-07-19,1295.3925380354142
2023-07-20,1301.4830536478155
2023-07-21,1296.4369834434403
2023-07-22,1300.22600266625
2023-07-23,1301.4982150583774
2023-07-24,1297.549958690689
2023-07-25,1306.8513076380937
2023-07-26,1302.0169820384408
2023-07-27,1300.1137399559605
2023-07-28,1307.5756999027835
2023-07-29,1301.401495707483
2023-07-30,1307.0354263347908
2023-07-31,1307.849610496231
2023-08-01,1314.3253682401166
2023-08-02,1312.2700665068658
2023-08-03,1310.772125480247
2023-08-04,1315.986776701481
2023-08-05,1319.849667882073
2023-08-06,1316.6883666002525
2023-08-07,1314.951763099217
2023-08-08,1309.3415037697562
2023-08-09,1311.575801547637
2023-08-10,1316.3759312727473
2023-08-11,1315.855178715231
2023-08-12,1318.968568142607
2023-08-13,1321.1873592135266
2023-08-14,1324.5532582923315
2023-08-15,1322.5529855617594
2023-08-16,1326.3386726026927
2023-08-17,1325.2292213891192
2023-08-18,1316.030201414806
2023-08-19,1322.2115422089885
2023-08-20,1327.1884663309809
2023-08-21,1322.8611153268903
2023-08-22,1332.9099176225836
2023-08-23,1338.564713065828
2023-08-24,1338.005453094103
2023-08-25,1331.8451144124724
2023-08-26,1341.36664438288
2023-08-27,1335.6570359161476
2023-08-28,1334.2289537060537
2023-08-29,1333.848055175446
2023-08-30,1336.403404992217
2023-08-31,1336.9755542634582
2023-09-01,1340.7692043995487
2023-09-02,1341.7206781244274
2023-09-03,1341.933723251452
2023-09-04,1345.1038689309237
2023-09-05,1349.8730943876303
2023-09-06,1349.668318622412
2023-09-07,1338.4967430344627
2023-09-08,1334.1523121337093
2023-09-09,1352.5942022959223
2023-09-10,1342.0888941791557
2023-09-11,1348.8001455932763
2023-09-12,1345.0740924039496
2023-09-13,1342.9154402778533
2023-09-14,1355.6333410382842
2023-09-15,1357.7224881302802
2023-09-16,1352.0448452566404
2023-09-17,1342.9728707310564
2023-09-18,1354.1975448820253
2023-09-19,1359.8884720818073
2023-09-20,1351.5355791424308
2023-09-21,1360.847621516704
2023-09-22,1360.8549576034502
2023-09-23,1364.8286492788275
2023-09-24,1363.5307785543996
2023-09-25,1359.0682169394279
2023-09-26,1370.917104083665
2023-09-27,1365.1422836417146
2023-09-28,1366.7990937408065
2023-09-29,1363.269961574497
2023-09-30,1366.7205750454123
2023-10-01,1365.5136576627422
2023-10-02,1370.0736258647664
2023-10-03,1380.4975834966021
2023-10-04,1366.0802203127405
2023-10-05,1365.8726039695205
2023-10-06,1382.296947527879
2023-10-07,1374.8951624361584
2023-10-08,1373.597102060125
2023-10-09,1383.142674121912
2023-10-10,1375.9157579177543
2023-10-11,1389.07456911568
2023-10-12,1384.3348348361485
2023-10-13,1379.5063333702305
2023-10-14,1393.7331164087934
2023-10-15,1380.918685658956
2023-10-16,1388.658422065526
2023-10-17,1387.4450930390187
2023-10-18,1393.4580215154872
2023-10-19,1395.7575559836343
2023-10-20,1389.1107056768358
2023-10-21,1386.1842805112829
2023-10-22,1393.2519155092161
2023-10-23,1388.5641628772669
2023-10-24,1403.0203608951674
2023-10-25,1394.6367862444547
2023-10-26,1393.1281867639873
2023-10-27,1396.8788809813793
2023-10-28,1390.220532935913
2023-10-29,1393.0987791225152
2023-10-30,1404.9596037862973
2023-10-31,1396.673747783225
2023-11-01,1395.7243491961794
2023-11-02,1404.6428528037325
2023-11-03,1408.888794745918
2023-11-04,1407.555725457435
2023-11-05,1409.9418822646455
2023-11-06,1402.178353324276
2023-11-07,1399.853960364921
2023-11-08,1415.4703668899144
2023-11-09,1407.3509843674333
2023-11-10,1408.7109034108755
2023-11-11,1417.6067241339028
2023-11-12,1414.7475884031678
2023-11-13,1415.2465621480792
2023-11-14,1424.7928199436835
2023-11-15,1411.7509019987842
2023-11-16,1420.608378722598
2023-11-17,1417.254928638184
2023-11-18,1419.3135093395217
2023-11-19,1426.613575008775
2023-11-20,1422.5110965896672
2023-11-21,1423.6640831349741
2023-11-22,1427.3358243577818
2023-11-23,1421.1492089550252
2023-11-24,1419.7786091975518
2023-11-25,1419.7512964956484
2023-11-26,1416.1442444503805
2023-11-27,1437.2577479784688
2023-11-28,1422.4613554316657
2023-11-29,1427.871814073852
2023-11-30,1428.5947006238432
2023-12-01,1432.5164855438402
2023-12-02,1436.058823048998
2023-12-03,1437.283189359607
2023-12-04,1431.0661196564704
2023-12-05,1434.14658321189
2023-12-06,1437.3957764647703
2023-12-07,1435.740106012918
2023-12-08,1446.0209744554425
2023-12-09,1441.4398062650405
2023-12-10,1443.6600053686052
2023-12-11,1444.3007077132002
2023-12-12,1447.8543555887964
2023-12-13,1443.8927790263951
2023-12-14,1437.5041964246043
2023-12-15,1446.9874808546535
2023-12-16,1442.7329415584384
2023-12-17,1444.3473275501556
2023-12-18,1450.9229159841866
2023-12-19,1455.183196179086
2023-12-20,1450.0988236371052
2023-12-21,1452.5373157479264
2023-12-22,1460.5049103396145
2023-12-23,1454.198286445388
2023-12-24,1467.003621050354
2023-12-25,1457.8234386391166
2023-12-26,1447.1927615466868
2023-12-27,1460.7639683794953
2023-12-28,1459.9037371298934
2023-12-29,1465.4473939074
2023-12-30,1463.365221824843
2023-12-31,1460.307720080081
